,mean,mean_se,mean_ci_lower,mean_ci_upper
2025-08-01,308.4846775853313,6.8668215308573926,295.0259546965866,321.94340047407604
2025-08-02,308.20778630532413,9.644379760621044,289.3051493212799,327.1104232893684
2025-08-03,308.49587310511396,11.828583824184113,285.31227482160006,331.67947138862786
2025-08-04,308.351489434194,13.587731037131356,281.72002596979945,334.9829528985885
2025-08-05,308.5240545880984,15.1927141038172,278.746882117203,338.30122705899385
2025-08-06,308.50603253156186,16.600207232358702,275.97022422023747,341.04184084288624
2025-08-07,308.5199687093472,17.90071523958116,273.43521154226084,343.6047258764336
2025-08-08,308.50914773578285,19.110332483246093,271.0535843360346,345.9647111355311
2025-08-09,308.5146109669989,20.250041157602396,268.8252596126444,348.20396232135334
2025-08-10,308.51129163809793,21.32779912609235,266.7095734814521,350.3130097947438
2025-08-11,308.51212503696416,22.35425376339714,264.6985927594368,352.32565731449154
2025-08-12,308.5115812886926,23.33546720086668,262.7749060125782,354.248256564807
2025-08-13,308.51191677586297,24.277144327035945,260.9295882473916,356.0942453043343
2025-08-14,308.51175626280565,25.18357863058849,259.1528491450197,357.8706633805916
2025-08-15,308.51183609353416,26.058527958594688,257.4380598045585,359.5856123825098
2025-08-16,308.5118049480682,26.905027183269503,255.7789206657888,361.24468923034755
2025-08-17,308.51182305615083,27.725698243209198,254.17045305323535,362.8531930590663
2025-08-18,308.51181325150986,28.52276372047477,252.60822361983364,364.41540288318606
2025-08-19,308.51181787554367,29.298154187014184,251.08849085549448,365.9351448955929
2025-08-20,308.5118156399755,30.053545369705073,249.60794910761305,367.41568217233794
2025-08-21,308.51181668130954,30.79041015934891,248.1637216997695,368.8599116628496
2025-08-22,308.51181612044917,31.51004788705829,246.7532571106825,370.2703751302158
2025-08-23,308.5118164055732,32.213613310418324,245.37429450525318,371.6493383058932
2025-08-24,308.5118162695246,32.90213739012097,244.02481197049883,372.9988205685504
2025-08-25,308.51181633616153,33.57654550832059,242.70299641458305,374.32063625774003
2025-08-26,308.5118163033316,34.237671812883676,241.40721263557742,375.6164199710858
2025-08-27,308.5118163202332,34.88627143058936,240.13598076138942,376.887651879077
2025-08-28,308.5118163118438,35.523030520386136,238.88795587016983,378.13567675351777
2025-08-29,308.5118163159151,36.14857480516209,237.66191160534538,379.3617210264848
